age_class,Total,var,date
"[65, 75)",10990,case_cumul,2020-04-10
"[75, Inf)",9424,case_cumul,2020-04-10
"[-Inf, 18)",1867,case_cumul,2020-04-11
"[18, 45)",36475,case_cumul,2020-04-11
"[45, 65)",33914,case_cumul,2020-04-11
"[65, 75)",11736,case_cumul,2020-04-11
"[75, Inf)",10203,case_cumul,2020-04-11
"[-Inf, 18)",1928,case_cumul,2020-04-12
"[18, 45)",37835,case_cumul,2020-04-12
"[45, 65)",35575,case_cumul,2020-04-12
"[65, 75)",12364,case_cumul,2020-04-12
"[75, Inf)",10793,case_cumul,2020-04-12
"[-Inf, 18)",2025,case_cumul,2020-04-13
"[18, 45)",39704,case_cumul,2020-04-13
"[45, 65)",37851,case_cumul,2020-04-13
"[65, 75)",13128,case_cumul,2020-04-13
"[75, Inf)",11477,case_cumul,2020-04-13
"[-Inf, 18)",2078,case_cumul,2020-04-14
"[18, 45)",40612,case_cumul,2020-04-14
"[45, 65)",38967,case_cumul,2020-04-14
"[65, 75)",13542,case_cumul,2020-04-14
"[75, Inf)",11840,case_cumul,2020-04-14
"[-Inf, 18)",2150,case_cumul,2020-04-15
"[18, 45)",42127,case_cumul,2020-04-15
"[45, 65)",40559,case_cumul,2020-04-15
"[65, 75)",14025,case_cumul,2020-04-15
"[75, Inf)",12331,case_cumul,2020-04-15
"[-Inf, 18)",2256,case_cumul,2020-04-16
"[18, 45)",44016,case_cumul,2020-04-16
"[45, 65)",42743,case_cumul,2020-04-16
"[65, 75)",14949,case_cumul,2020-04-16
"[75, Inf)",13366,case_cumul,2020-04-16
"[-Inf, 18)",2395,case_cumul,2020-04-17
"[18, 45)",45648,case_cumul,2020-04-17
"[45, 65)",44460,case_cumul,2020-04-17
"[65, 75)",15490,case_cumul,2020-04-17
"[75, Inf)",13892,case_cumul,2020-04-17
"[-Inf, 18)",2478,case_cumul,2020-04-18
"[18, 45)",46985,case_cumul,2020-04-18
"[45, 65)",46115,case_cumul,2020-04-18
"[65, 75)",16019,case_cumul,2020-04-18
"[75, Inf)",14501,case_cumul,2020-04-18
"[-Inf, 18)",2588,case_cumul,2020-04-19
"[18, 45)",48156,case_cumul,2020-04-19
"[45, 65)",47407,case_cumul,2020-04-19
"[65, 75)",16439,case_cumul,2020-04-19
"[75, Inf)",14922,case_cumul,2020-04-19
"[-Inf, 18)",2652,case_cumul,2020-04-20
"[18, 45)",49066,case_cumul,2020-04-20
"[45, 65)",48444,case_cumul,2020-04-20
"[65, 75)",16776,case_cumul,2020-04-20
"[75, Inf)",15251,case_cumul,2020-04-20
"[-Inf, 18)",2707,case_cumul,2020-04-21
"[18, 45)",49887,case_cumul,2020-04-21
"[45, 65)",49383,case_cumul,2020-04-21
"[65, 75)",17072,case_cumul,2020-04-21
"[75, Inf)",15547,case_cumul,2020-04-21
"[-Inf, 18)",2839,case_cumul,2020-04-22
"[18, 45)",51217,case_cumul,2020-04-22
"[45, 65)",50694,case_cumul,2020-04-22
"[65, 75)",17474,case_cumul,2020-04-22
"[75, Inf)",15932,case_cumul,2020-04-22
"[-Inf, 18)",2961,case_cumul,2020-04-23
"[18, 45)",52380,case_cumul,2020-04-23
"[45, 65)",51998,case_cumul,2020-04-23
"[65, 75)",17846,case_cumul,2020-04-23
"[75, Inf)",16282,case_cumul,2020-04-23
"[-Inf, 18)",3116,case_cumul,2020-04-24
"[18, 45)",53941,case_cumul,2020-04-24
"[45, 65)",53696,case_cumul,2020-04-24
"[65, 75)",18372,case_cumul,2020-04-24
"[75, Inf)",16727,case_cumul,2020-04-24
"[-Inf, 18)",3276,case_cumul,2020-04-25
"[18, 45)",55541,case_cumul,2020-04-25
"[45, 65)",55390,case_cumul,2020-04-25
"[65, 75)",18891,case_cumul,2020-04-25
"[75, Inf)",17182,case_cumul,2020-04-25
"[-Inf, 18)",3361,case_cumul,2020-04-26
"[18, 45)",56474,case_cumul,2020-04-26
"[45, 65)",56428,case_cumul,2020-04-26
"[65, 75)",19198,case_cumul,2020-04-26
"[75, Inf)",17443,case_cumul,2020-04-26
"[-Inf, 18)",3488,case_cumul,2020-04-27
"[18, 45)",57462,case_cumul,2020-04-27
"[45, 65)",57556,case_cumul,2020-04-27
"[65, 75)",19545,case_cumul,2020-04-27
"[75, Inf)",17735,case_cumul,2020-04-27
"[-Inf, 18)",3555,case_cumul,2020-04-28
"[18, 45)",58042,case_cumul,2020-04-28
"[45, 65)",58143,case_cumul,2020-04-28
"[65, 75)",19749,case_cumul,2020-04-28
"[75, Inf)",17909,case_cumul,2020-04-28
"[-Inf, 18)",3631,case_cumul,2020-04-29
"[18, 45)",58866,case_cumul,2020-04-29
"[45, 65)",58877,case_cumul,2020-04-29
"[65, 75)",19996,case_cumul,2020-04-29
"[75, Inf)",18180,case_cumul,2020-04-29
"[-Inf, 18)",3711,case_cumul,2020-04-30
"[18, 45)",59684,case_cumul,2020-04-30
"[45, 65)",59715,case_cumul,2020-04-30
"[65, 75)",20273,case_cumul,2020-04-30
"[75, Inf)",18506,case_cumul,2020-04-30
"[-Inf, 18)",3782,case_cumul,2020-05-01
"[18, 45)",60483,case_cumul,2020-05-01
"[45, 65)",60552,case_cumul,2020-05-01
"[65, 75)",20537,case_cumul,2020-05-01
"[75, Inf)",18821,case_cumul,2020-05-01
"[-Inf, 18)",3897,case_cumul,2020-05-02
"[18, 45)",61376,case_cumul,2020-05-02
"[45, 65)",61424,case_cumul,2020-05-02
"[65, 75)",20813,case_cumul,2020-05-02
"[75, Inf)",19045,case_cumul,2020-05-02
"[-Inf, 18)",4023,case_cumul,2020-05-03
"[18, 45)",62109,case_cumul,2020-05-03
"[45, 65)",62137,case_cumul,2020-05-03
"[65, 75)",21024,case_cumul,2020-05-03
"[75, Inf)",19221,case_cumul,2020-05-03
"[-Inf, 18)",4088,case_cumul,2020-05-04
"[18, 45)",62718,case_cumul,2020-05-04
"[45, 65)",62700,case_cumul,2020-05-04
"[65, 75)",21245,case_cumul,2020-05-04
"[75, Inf)",19451,case_cumul,2020-05-04
"[-Inf, 18)",4137,case_cumul,2020-05-05
"[18, 45)",63149,case_cumul,2020-05-05
"[45, 65)",63122,case_cumul,2020-05-05
"[65, 75)",21383,case_cumul,2020-05-05
"[75, Inf)",19598,case_cumul,2020-05-05
"[-Inf, 18)",4188,case_cumul,2020-05-06
"[18, 45)",63726,case_cumul,2020-05-06
"[45, 65)",63670,case_cumul,2020-05-06
"[65, 75)",21590,case_cumul,2020-05-06
"[75, Inf)",19779,case_cumul,2020-05-06
"[-Inf, 18)",4246,case_cumul,2020-05-07
"[18, 45)",64244,case_cumul,2020-05-07
"[45, 65)",64143,case_cumul,2020-05-07
"[65, 75)",21770,case_cumul,2020-05-07
"[75, Inf)",19971,case_cumul,2020-05-07
"[-Inf, 18)",4310,case_cumul,2020-05-08
"[18, 45)",64707,case_cumul,2020-05-08
"[45, 65)",64595,case_cumul,2020-05-08
"[65, 75)",21959,case_cumul,2020-05-08
"[75, Inf)",20173,case_cumul,2020-05-08
"[-Inf, 18)",4397,case_cumul,2020-05-09
"[18, 45)",65195,case_cumul,2020-05-09
"[45, 65)",65082,case_cumul,2020-05-09
"[65, 75)",22120,case_cumul,2020-05-09
"[75, Inf)",20337,case_cumul,2020-05-09
"[-Inf, 18)",4459,case_cumul,2020-05-10
"[18, 45)",65645,case_cumul,2020-05-10
"[45, 65)",65546,case_cumul,2020-05-10
"[65, 75)",22260,case_cumul,2020-05-10
"[75, Inf)",20504,case_cumul,2020-05-10
"[-Inf, 18)",4605,case_cumul,2020-05-11
"[18, 45)",67327,case_cumul,2020-05-11
"[45, 65)",67171,case_cumul,2020-05-11
"[65, 75)",22866,case_cumul,2020-05-11
"[75, Inf)",21280,case_cumul,2020-05-11
"[-Inf, 18)",4645,case_cumul,2020-05-12
"[18, 45)",67562,case_cumul,2020-05-12
"[45, 65)",67364,case_cumul,2020-05-12
"[65, 75)",22937,case_cumul,2020-05-12
"[75, Inf)",21399,case_cumul,2020-05-12
"[-Inf, 18)",4690,case_cumul,2020-05-13
"[18, 45)",67925,case_cumul,2020-05-13
"[45, 65)",67647,case_cumul,2020-05-13
"[65, 75)",23026,case_cumul,2020-05-13
"[75, Inf)",21509,case_cumul,2020-05-13
"[-Inf, 18)",4761,case_cumul,2020-05-14
"[18, 45)",68340,case_cumul,2020-05-14
"[45, 65)",67982,case_cumul,2020-05-14
"[65, 75)",23167,case_cumul,2020-05-14
"[75, Inf)",21632,case_cumul,2020-05-14
"[-Inf, 18)",4824,case_cumul,2020-05-15
"[18, 45)",68835,case_cumul,2020-05-15
"[45, 65)",68520,case_cumul,2020-05-15
"[65, 75)",23370,case_cumul,2020-05-15
"[75, Inf)",21887,case_cumul,2020-05-15
"[-Inf, 18)",4884,case_cumul,2020-05-16
"[18, 45)",69127,case_cumul,2020-05-16
"[45, 65)",68911,case_cumul,2020-05-16
"[65, 75)",23542,case_cumul,2020-05-16
"[75, Inf)",22151,case_cumul,2020-05-16
"[-Inf, 18)",4955,case_cumul,2020-05-17
"[18, 45)",69610,case_cumul,2020-05-17
"[45, 65)",69402,case_cumul,2020-05-17
"[65, 75)",23714,case_cumul,2020-05-17
"[75, Inf)",22307,case_cumul,2020-05-17
